filepath,prompt
images/funda-26.png,"A heavy-duty black phone case with a sliding camera cover and metal ring stand, showcased on a Samsung phone, white background."
images/funda-30.webp,"A transparent pink phone case with heart icon, shiny frame and front/rear views, white background."
images/funda-29.jpeg,"A blue matte phone case with a soft-touch finish, displayed on a smartphone with green screen, angled front and rear view."
images/funda-4.jpg,"A transparent phone case on a black smartphone, displaying the S24 FE 5G label, shown from both front and rear views, white background."
images/funda-18.jpg,"A black slim phone case with MagSafe ring on a Samsung phone, shown with vivid green screen from both sides."
images/funda-15.webp,"A clear phone case with white MagSafe ring, displayed on a Samsung device with pink and blue screen, shown from both angles."
images/funda-2.jpg,"A brown silicone phone case covering a smartphone, shown from front and back angles on a white background."
images/funda-14.jpg,"A turquoise rugged phone case with reinforced corners and inner layer, shown in a cross-view layout with white background."
images/funda-25.jpg,"A rugged black phone case with rotating ring stand, reinforced corners and textured surface, shown in cross view on white background."
images/funda-21.jpeg,"A bold blue rugged phone case with integrated black ring stand, viewed from two angles with a white screen background."
images/funda-1.jpg,"A textured purple phone case on a smartphone, dual view with screen and back, white background."
images/funda-3.jpg,"A teal rugged phone case shown from front and back angles, with reinforced corners and textured grip, on a white background."
images/funda-22.jpg,"A transparent phone case with pink-purple frame, mounted on a Samsung phone, dual-view layout with soft lighting."
images/funda-20.jpeg,"A metallic navy blue phone case with a built-in rotating ring stand, covering a Samsung phone, front and rear views on white background."
images/funda-5.jpg,"A hybrid phone case with blue frame, transparent back and a white MagSafe ring, shown from dual angles, dark screen theme."
images/funda-17.jpeg,"A dark blue phone case with metallic ring stand extended, dual-angle view of Samsung phone with stylus, bright background."
images/funda-23.jpg,"A matte green silicone phone case with minimalist design, shown on a Samsung phone from dual angles, white background."
images/funda-8.jpeg,"A dark blue phone case with textured back panel, dual-view layout showing front and back, white background."
images/funda-9.jpeg,"A matte gray heavy-duty phone case with side grips, front and rear angles, white background."
images/funda-11.webp,"A dark blue phone case with a minimalist matte finish, shown from both angles with a smartphone inside, white background."
images/funda-16.jpg,"A semi-transparent smoky phone case with black MagSafe ring, covering a Samsung phone, shown from front and rear angles."
images/funda-10.jpg,"A slim dark phone case with black MagSafe ring design, shown from both sides with a green-themed screen, white background."
images/funda-24.jpg,"A solid dark green phone case with a soft-touch finish, displayed on a Samsung smartphone from front and rear views."
images/funda-27.jpg,"A heavy-duty black phone case with a sliding camera cover and metal ring stand, showcased on a Samsung phone, white background."
images/funda-19.jpg,"A rugged navy blue phone case with a built-in black ring holder, shown from front and back on a Samsung smartphone, white background."
images/funda-6.jpeg,"A dual-layer dark turquoise phone case with reinforced edges, shown from front and back with smartphone display on, against a white background."
images/funda-28.webp,"A dark gray phone case with black MagSafe ring, covering a Samsung smartphone, shown from front and back on a white background."
images/funda-12.webp,"A rugged dark blue phone case with bold black accents and side grips, dual-view showing front and back, white background."
images/funda-7.jpeg,"A rugged black and red phone case with built-in kickstand, shown from front and back on a white background."
images/funda-13.jpg,"A black phone case with blue trim and built-in kickstand, displayed from front and rear angles with golden reflections on screen."
